ST,NP,BDSP,BLD,RMSP,TEN,VEH,YBL,FINCP,FPARC,HHL,MV,NOC
37,01,,,,,,,,,,,
06,01,,,,,,,,,,,
06,03,03,02,05,1,2,08,000180000,1,4,4,01
06,07,03,02,04,3,2,08,000141400,2,4,1,03
22,05,03,02,05,1,4,08,000160200,2,1,4,03
51,01,03,02,05,2,1,03,,,1,7,00
08,02,03,02,08,1,3,04,000054900,4,1,5,00
26,03,03,02,05,1,3,07,000051000,2,1,5,01
17,01,02,02,04,2,1,03,,,1,7,00
47,04,03,02,06,1,1,02,000042400,2,1,3,02
06,01,,,,,,,,,,,
51,01,02,03,06,1,1,07,,,1,5,00
37,01,03,02,05,1,2,07,,,3,3,00
06,02,02,06,04,3,2,07,,,2,1,00
45,05,03,02,07,3,1,07,000012000,3,1,5,00
26,01,01,03,03,4,1,04,,,1,2,00
12,01,02,03,06,1,1,05,,,1,3,00
47,02,03,01,09,2,2,06,,,1,5,00
36,07,04,05,07,2,1,07,000040440,3,1,5,05
24,02,02,05,04,3,0,04,000136900,4,1,3,00
06,03,03,02,05,4,2,12,000014000,4,3,2,00
10,01,03,02,06,4,1,05,,,1,6,00
26,01,01,05,03,3,1,03,,,1,1,00
48,06,04,02,07,2,1,01,000032930,2,1,6,00
25,01,,,,,,,,,,,
06,02,03,02,05,1,3,05,000132700,4,1,5,00
40,00,04,02,08,,,05,,,,,
39,02,02,03,06,3,1,07,000022000,4,1,5,00
09,04,03,02,07,2,3,06,000124200,2,1,4,02
40,04,03,02,05,2,3,05,000022000,2,1,3,00
45,03,03,02,09,1,3,07,000116000,2,1,5,01
06,05,03,02,06,3,2,09,000115000,3,1,3,03
06,04,04,02,06,3,2,04,000047600,2,1,4,01
05,01,03,02,06,2,1,04,,,1,7,00
47,04,03,02,06,2,2,05,000089300,2,1,7,02
36,02,03,02,07,1,2,03,000048600,4,1,4,00
06,03,02,05,04,3,1,06,000002300,1,1,1,02
29,01,02,02,04,3,0,02,,,1,7,00
13,01,02,02,05,3,1,04,,,1,3,00
09,01,01,01,05,1,1,05,,,1,7,00
06,01,02,01,04,2,2,07,,,4,4,00
06,01,,,,,,,,,,,
06,01,02,06,03,1,1,05,,,1,6,00
36,05,04,02,10,1,3,03,000102080,3,1,5,01
42,04,05,01,09,2,4,05,000101800,2,1,7,00
36,02,01,04,04,3,1,01,,,2,1,00
19,00,02,02,05,,,01,,,,,
13,00,04,02,06,,,07,,,,,
12,02,03,01,06,1,2,08,000068500,4,1,4,00
17,02,05,02,11,2,2,07,000035000,4,3,5,00
36,03,04,02,08,1,3,05,000076000,4,1,7,00
17,02,03,02,09,2,1,05,000019200,4,1,7,00
09,01,01,04,03,3,1,01,,,1,1,00
47,02,03,02,07,2,2,06,000222000,4,1,4,00
25,01,,,,,,,,,,,
17,01,,,,,,,,,,,
12,05,04,02,08,2,2,05,000548000,2,2,4,02
37,01,,,,,,,,,,,
06,01,02,07,03,3,1,06,,,2,1,00
39,01,02,05,05,3,1,03,,,1,3,00
28,04,04,02,08,1,3,07,000089000,2,1,5,01
29,02,04,02,08,4,1,02,000000000,4,1,5,00
45,03,04,02,08,1,3,05,000170900,4,1,4,00
26,03,02,02,06,2,3,09,000398600,2,2,4,01
11,01,,,,,,,,,,,
17,01,04,02,08,2,1,04,,,1,7,00
36,02,04,02,08,1,1,05,000017104,4,1,7,00
17,01,01,07,04,3,0,08,,,1,3,00
13,01,03,02,06,2,1,03,,,1,7,00
37,03,03,02,05,1,4,07,000055000,2,1,4,01
51,06,04,02,06,1,4,07,000019140,2,1,4,03
36,00,02,04,07,,,05,,,,,
53,01,,,,,,,,,,,
24,01,03,03,05,1,1,03,,,1,7,00
23,02,03,02,05,2,2,05,000094120,4,1,7,00
20,01,03,02,06,2,1,01,,,1,3,00
06,03,03,02,05,1,1,03,000024400,2,2,3,00
12,01,01,05,05,2,0,05,,,3,7,00
06,01,00,06,02,3,1,01,,,1,3,00
29,01,05,02,10,1,1,03,,,1,5,00
21,01,03,02,09,2,2,05,,,1,7,00
42,04,04,02,08,1,3,05,000297600,4,1,4,00
39,00,02,06,04,,,05,,,,,
41,02,05,02,10,1,2,01,,,1,3,00
12,03,03,02,06,1,2,08,000133800,1,1,4,01
45,02,03,02,06,3,1,01,000018000,4,1,4,00
06,02,04,02,06,1,3,06,000137400,2,1,4,01
12,01,,,,,,,,,,,
39,01,01,06,03,3,0,02,,,1,1,00
41,02,02,05,03,3,1,06,,,1,1,00
04,04,03,02,06,3,3,07,000099000,2,3,2,02
39,03,03,02,06,2,2,03,000048250,4,1,1,00
11,01,01,09,03,3,0,03,,,2,3,00
