ST,NP,BDSP,BLD,RMSP,TEN,VEH,YBL,FINCP,FPARC,HHL,MV,NOC
51,01,03,02,07,1,2,07,,,1,4,00
06,04,03,03,06,3,2,06,000035000,3,1,1,02
12,01,01,05,03,3,0,05,,,1,4,00
06,02,04,02,08,1,3,03,000100000,4,2,3,00
49,05,09,02,13,1,2,12,000084500,4,1,3,00
49,03,04,02,07,1,3,08,000053000,4,3,3,00
37,01,01,06,03,3,1,07,,,1,1,00
06,04,02,06,04,3,1,05,000120200,3,3,1,02
32,03,02,06,03,3,2,13,000044900,4,3,3,00
05,01,03,02,05,2,2,08,,,1,5,00
48,01,01,02,03,2,1,02,,,1,2,00
24,04,04,02,08,1,4,04,000097900,2,2,4,01
39,04,03,02,06,1,2,09,000040600,2,1,3,01
21,03,03,02,07,2,1,04,000020600,3,1,2,02
32,03,04,02,07,1,3,08,000032300,4,2,4,00
36,01,02,09,04,3,0,01,,,2,7,00
36,01,01,04,03,3,1,04,,,1,3,00
35,05,03,01,05,2,2,07,000054500,2,2,5,02
49,07,05,02,09,2,3,07,000140300,3,1,5,05
42,03,03,02,08,1,4,06,000076600,4,1,6,00
23,00,04,02,07,,,01,,,,,
04,04,04,02,05,3,2,08,000050000,3,5,3,02
25,02,02,02,06,1,2,01,000068580,4,1,5,00
24,02,02,08,06,1,1,08,000099200,4,1,4,00
23,01,03,02,06,1,1,05,,,1,7,00
53,02,02,07,04,2,2,04,,,1,5,00
48,04,04,02,07,1,2,12,000037600,2,1,3,02
04,01,01,09,03,3,1,06,,,1,2,00
37,00,02,01,03,,,07,,,,,
39,01,,,,,,,,,,,
42,01,,,,,,,,,,,
48,01,03,02,10,2,1,06,,,1,6,00
26,03,03,02,06,3,3,01,,,1,1,00
39,01,02,02,06,2,1,05,,,1,3,00
19,05,03,02,05,2,2,04,000125600,4,1,5,00
36,02,03,02,05,4,2,11,,,1,1,00
16,02,02,02,06,2,2,07,000046700,4,1,4,00
24,03,05,02,10,2,3,05,000356500,4,2,6,00
08,02,02,02,06,1,2,01,,,2,1,00
48,01,02,07,05,3,0,05,,,2,1,00
27,05,04,02,14,1,4,07,000197500,2,1,3,02
08,01,03,05,05,3,1,07,,,1,1,00
06,02,03,02,06,1,1,03,000024100,4,2,7,00
17,03,03,02,06,1,3,08,000081700,2,1,5,01
39,02,04,01,06,4,2,05,,,1,5,00
24,01,01,07,03,2,0,02,,,1,6,00
41,01,01,06,03,3,1,03,,,1,3,00
21,02,03,01,05,2,2,05,000024080,4,1,1,00
37,01,,,,,,,,,,,
39,01,,,,,,,,,,,
12,02,03,02,07,1,2,05,,,1,6,00
20,00,01,04,03,,,01,,,,,
33,02,03,02,05,1,2,05,000064500,4,2,1,00
12,01,02,02,07,1,1,01,,,1,7,00
36,03,01,06,02,3,0,01,000020000,1,4,4,01
12,02,03,02,05,1,2,05,000100000,4,3,5,00
16,02,02,02,06,2,3,06,000024300,4,1,7,00
54,00,02,01,04,,,06,,,,,
12,02,02,08,04,2,2,06,000082800,4,1,5,00
13,02,03,02,07,1,3,10,000054800,4,1,3,00
06,01,,,,,,,,,,,
36,01,02,02,03,2,0,01,,,2,7,00
13,04,03,02,06,1,3,11,000036000,2,1,3,02
17,01,02,02,04,3,1,02,,,1,5,00
23,01,,,,,,,,,,,
34,01,02,04,06,1,1,09,,,1,3,00
36,02,02,04,04,3,1,07,000060650,4,1,4,00
49,03,03,02,05,2,1,09,000032000,3,1,3,02
06,03,03,02,05,3,1,07,000011000,3,2,1,02
37,02,03,02,07,1,1,02,000070900,4,1,7,00
50,02,04,02,11,1,2,08,000353000,4,1,4,00
48,03,03,03,05,3,4,08,000018800,4,1,3,00
49,02,04,02,06,2,2,06,000107500,4,1,6,00
17,01,04,02,08,2,1,04,,,1,5,00
17,01,03,02,05,1,2,13,,,1,3,00
42,04,03,02,07,1,4,03,000129000,2,1,5,02
04,03,04,02,07,1,2,10,000012600,2,1,2,01
04,01,03,02,06,1,1,08,,,1,1,00
01,00,02,01,04,,,05,,,,,
12,00,03,02,04,,,08,,,,,
37,00,00,02,01,,,01,,,,,
53,03,02,02,04,1,0,02,,,1,5,00
41,02,03,03,07,2,1,07,000081200,4,1,3,00
36,04,01,07,03,3,2,01,000110600,2,4,3,02
26,04,03,02,05,3,4,09,000026000,3,1,3,02
34,05,03,02,07,1,3,03,000001900,2,1,4,03
12,02,03,02,06,2,1,05,000095300,4,1,7,00
36,01,,,,,,,,,,,
30,02,03,02,09,1,2,06,000059000,4,1,6,00
06,03,01,04,03,3,0,02,000017000,1,2,5,01
02,05,03,02,04,2,0,07,000062000,3,5,5,03
12,04,03,02,06,1,2,05,000072450,2,2,5,02
06,04,02,05,03,3,0,05,000021800,3,1,1,01
51,01,01,04,04,3,0,01,,,1,4,00
39,02,02,02,05,2,2,03,000017400,4,1,4,00
26,05,04,02,11,1,2,07,000101500,2,1,5,02
29,04,02,02,06,1,4,01,000145120,4,1,5,00
36,01,,,,,,,,,,,
06,02,03,02,07,1,2,05,000112500,4,1,6,00
37,02,04,02,09,1,2,10,000117000,4,1,3,00
36,01,,,,,,,,,,,
48,04,04,02,06,2,3,03,000030700,4,2,7,00
48,01,01,06,03,3,1,05,,,1,1,00
42,01,01,05,04,3,0,03,,,1,3,00
39,02,02,02,08,1,1,01,000081200,4,1,7,00
34,02,02,07,03,3,1,05,000202500,4,1,2,00
48,03,02,02,05,2,1,05,000009000,4,1,5,00
48,01,01,05,04,3,1,06,,,1,3,00
04,02,02,02,04,2,2,11,,,1,4,00
48,04,03,02,05,3,3,05,000052000,2,1,3,01
37,02,03,02,06,2,3,05,000034600,4,1,7,00
21,01,03,02,05,2,1,07,,,1,6,00
24,00,03,03,07,,,01,,,,,
51,02,02,05,04,3,2,06,,,3,1,00
42,02,03,02,06,1,1,15,000183600,4,1,3,00
37,02,03,02,06,1,2,08,000075500,4,1,4,00
39,02,02,05,04,3,2,07,,,1,3,00
42,00,01,06,02,,,01,,,,,
20,01,00,08,01,3,0,04,,,1,1,00
36,04,03,03,06,2,2,04,000015000,4,3,5,00
12,04,04,02,07,1,3,07,000077800,2,1,5,01
39,01,02,06,05,1,1,01,,,1,5,00
22,05,03,02,06,3,2,05,000061000,3,1,1,02
36,03,03,02,07,2,2,02,000100700,4,4,7,00
17,03,03,02,07,1,2,02,000139200,1,1,3,01
51,02,03,02,05,2,2,05,000013400,4,1,5,00
08,01,04,02,08,1,3,05,,,1,5,00
48,04,04,02,11,1,2,06,000178800,2,2,5,02
29,00,03,02,06,,,01,,,,,
06,02,04,02,07,1,1,04,000030000,4,2,7,00
34,02,02,02,04,4,1,03,000085500,2,1,4,01
04,00,03,02,07,,,08,,,,,
28,02,04,02,08,2,3,11,000055300,4,2,4,00
12,03,03,02,07,1,2,08,000072100,4,1,4,00
34,02,04,02,08,1,2,07,000220500,4,1,5,00
18,00,04,02,08,,,02,,,,,
09,02,02,03,04,1,1,05,000062000,4,1,4,00
51,02,04,02,08,3,0,04,,,1,1,00
21,03,04,02,05,1,2,10,000105100,4,1,4,00
15,01,03,02,06,2,3,07,,,1,5,00
48,03,02,02,05,2,3,01,000050500,4,1,3,00
26,02,04,02,06,2,1,06,000040500,4,3,6,00
48,02,03,02,06,3,1,04,000017000,4,1,1,00
45,04,04,02,08,1,2,07,000085000,3,1,5,02
06,06,04,02,08,1,2,05,000109140,2,1,4,04
26,03,02,06,04,3,2,05,000060100,2,1,4,02
48,03,04,02,06,1,3,08,000075000,4,1,5,00
47,02,03,02,05,1,2,08,000076400,4,1,4,00
40,01,,,,,,,,,,,
06,00,02,01,05,,,06,,,,,
17,05,04,02,08,1,2,07,000048600,2,1,5,00
12,01,03,02,04,1,1,05,,,1,7,00
18,01,04,02,07,1,1,07,,,1,5,00
47,02,03,02,16,1,3,05,000458200,4,1,5,00
26,01,,,,,,,,,,,
36,01,01,09,04,3,0,05,,,1,6,00
48,02,04,02,09,1,2,08,000235000,4,3,3,00
06,02,04,02,06,1,2,04,000050800,4,1,7,00
42,03,04,02,10,1,2,07,000382500,4,1,6,00
36,02,04,02,09,1,3,06,000194900,4,3,6,00
36,04,04,02,07,3,1,01,000032600,2,1,1,03
50,02,03,02,07,1,2,09,000081200,4,1,4,00
47,01,01,05,04,3,1,06,,,1,3,00
36,01,02,02,05,2,2,01,,,1,7,00
37,01,02,07,04,2,1,10,,,1,3,00
09,01,03,02,07,2,1,03,,,1,6,00
13,01,03,02,06,1,2,06,,,1,5,00
08,01,,,,,,,,,,,
28,02,01,08,03,3,1,04,000045300,4,1,3,00
17,01,01,02,04,1,1,02,,,1,5,00
39,01,,,,,,,,,,,
05,01,02,08,04,3,1,04,,,1,3,00
25,01,,,,,,,,,,,
06,02,03,02,08,3,1,03,000092600,4,1,1,00
12,01,02,06,04,3,1,07,,,1,3,00
41,01,,,,,,,,,,,
55,02,02,02,07,3,3,02,,,1,2,00
12,02,03,02,05,1,1,02,000032400,4,5,4,00
06,03,03,02,07,4,3,02,000033300,4,1,3,00
28,02,03,01,06,1,1,07,000023400,2,1,3,01
39,02,03,02,05,2,2,06,000025200,4,1,6,00
24,01,03,02,08,1,1,04,,,1,7,00
21,02,04,02,07,2,2,04,000040800,4,1,1,00
42,01,,,,,,,,,,,
39,04,04,02,11,1,3,07,000116500,2,1,5,01
46,03,03,02,06,1,3,05,000121600,2,1,5,01
27,01,03,02,12,1,1,07,,,1,5,00
25,01,,,,,,,,,,,
51,00,03,03,05,,,07,,,,,
12,03,04,02,05,1,2,08,000120900,2,3,3,01
32,01,01,06,04,3,1,08,,,1,1,00
25,03,03,02,07,2,4,07,000159000,4,3,5,00
39,01,01,09,03,3,1,06,,,1,1,00
06,01,04,02,06,1,3,05,,,1,1,00
32,03,02,06,03,1,2,07,000100000,2,1,1,01
25,04,03,02,06,1,2,07,000101000,1,1,3,02
21,05,04,01,10,1,5,07,000065600,2,1,5,00
27,00,02,02,04,,,07,,,,,
42,01,01,08,03,3,0,01,,,1,1,00
06,01,02,01,04,2,1,06,,,1,1,00
12,06,03,02,07,3,4,07,000191800,2,1,2,02
01,03,03,02,07,1,2,01,000080000,1,1,5,01
18,04,03,02,06,1,4,08,000049690,2,1,5,01
06,04,05,02,07,1,2,04,000015000,2,2,6,01
34,02,02,05,04,2,1,01,,,2,7,00
17,01,01,09,02,4,0,13,,,1,3,00
36,01,,,,,,,,,,,
53,03,04,02,06,1,1,07,000047600,2,4,5,01
53,03,04,02,10,1,2,07,000033000,2,1,4,01
17,03,04,02,08,1,4,07,000139850,4,2,5,00
06,04,02,09,04,3,1,05,000090000,3,3,1,02
42,03,03,02,06,2,3,03,000423840,4,1,6,00
06,02,03,02,05,2,2,03,000032800,4,2,7,00
41,03,03,02,07,3,2,01,,,1,3,00
18,01,02,02,04,2,0,03,,,1,7,00
21,04,04,02,10,2,2,07,000067000,2,1,5,02
13,03,03,02,06,3,1,04,000095000,4,1,6,00
55,04,03,02,06,1,1,01,000046100,3,1,3,03
42,02,02,02,05,1,2,02,000058330,4,1,7,00
12,02,02,02,08,2,1,09,000011080,4,2,3,00
12,01,01,04,04,3,1,06,,,5,1,00
48,02,05,02,11,1,2,04,000213280,4,1,6,00
34,00,03,02,07,,,01,,,,,
48,01,02,02,04,2,1,02,,,1,7,00
13,04,04,01,09,1,3,08,000023100,2,1,4,01
18,05,03,02,08,3,2,04,000046200,2,1,1,01
13,05,03,01,09,2,4,06,000091000,3,1,1,01
41,02,03,02,05,1,3,06,000062000,4,1,3,00
55,03,03,02,06,1,2,09,000092000,1,1,3,01
55,03,04,02,07,1,2,01,000064500,2,5,5,01
09,02,02,07,03,1,1,05,000783000,4,3,5,00
27,01,03,03,09,1,1,06,,,1,2,00
33,04,03,02,05,1,2,01,000130000,2,1,6,02
17,01,04,02,06,1,2,03,,,1,5,00
17,01,02,04,04,1,2,01,,,1,5,00
06,03,03,02,06,2,3,07,000030000,4,4,5,00
24,01,01,09,03,3,0,05,,,1,4,00
17,01,01,06,03,3,1,01,,,3,4,00
29,02,03,02,06,2,6,05,000101100,4,1,7,00
13,01,02,01,05,2,1,07,,,1,5,00
48,03,03,02,05,1,3,06,000070000,4,1,5,00
26,02,02,02,04,1,2,03,,,2,3,00
18,00,02,01,04,,,05,,,,,
06,02,02,01,05,4,0,05,000016800,4,1,3,00
15,02,03,02,05,2,2,06,000042400,4,4,5,00
37,03,03,02,07,2,3,03,000025700,4,1,6,00
36,01,01,08,04,2,2,06,,,1,3,00
18,02,03,01,08,1,2,07,000050400,4,1,5,00
06,06,04,02,07,1,3,03,000044000,2,1,5,03
06,03,04,02,07,1,3,08,000023000,4,3,4,00
04,02,03,02,06,1,3,09,000131400,4,1,4,00
04,00,01,06,03,,,08,,,,,
51,01,,,,,,,,,,,
37,02,04,02,08,1,2,14,000178000,4,1,1,00
36,03,02,03,04,1,3,07,000079100,4,1,5,00
42,03,02,02,08,1,3,01,000119200,4,1,6,00
37,03,02,01,04,1,1,07,000053400,2,1,3,02
40,01,03,02,06,1,3,01,,,1,1,00
36,01,01,09,03,3,0,04,,,3,5,00
44,01,02,05,04,3,1,01,,,1,1,00
13,00,04,02,08,,,07,,,,,
47,01,01,06,04,3,0,03,,,1,1,00
09,01,,,,,,,,,,,
48,02,03,02,07,2,1,03,000032970,4,1,5,00
36,01,,,,,,,,,,,
12,00,04,02,07,,,05,,,,,
26,02,04,02,10,1,1,08,000343000,4,3,5,00
06,04,04,02,11,1,3,07,000512040,2,1,4,02
51,02,04,02,08,4,0,01,000040100,4,1,7,00
15,02,01,09,03,3,1,06,000089200,4,1,1,00
37,04,03,02,06,1,3,04,000049900,1,1,7,00
19,01,04,02,07,1,2,01,,,1,7,00
27,05,04,02,09,1,3,08,000090000,3,1,5,03
17,04,05,02,09,1,2,05,000040000,2,1,4,02
25,01,,,,,,,,,,,
26,00,02,02,04,,,07,,,,,
13,04,03,02,06,1,2,06,000180000,1,3,4,02
48,02,02,03,04,2,1,08,000045250,4,1,4,00
30,00,05,02,08,,,01,,,,,
05,01,,,,,,,,,,,
42,02,01,09,04,3,1,07,000077300,4,1,5,00
06,03,03,02,05,2,2,03,000023600,4,1,7,00
49,03,03,05,05,3,1,04,000004700,1,1,2,01
41,01,01,08,02,3,1,12,,,1,3,00
39,01,01,09,03,3,1,05,,,1,3,00
12,03,03,02,08,1,3,06,000102200,4,1,5,00
51,01,03,03,06,1,1,06,,,1,5,00
06,02,05,02,16,1,2,10,000102000,4,1,3,00
42,01,,,,,,,,,,,
35,01,02,08,04,3,1,04,,,1,4,00
48,01,,,,,,,,,,,
48,00,01,01,02,,,05,,,,,
29,02,01,02,02,3,2,01,000043000,4,1,3,00
47,02,02,03,06,3,2,05,000035000,2,1,1,01
42,01,,,,,,,,,,,
45,01,,,,,,,,,,,
26,02,03,02,10,1,1,02,,,1,2,00
06,01,,,,,,,,,,,
46,02,04,02,07,2,2,01,000068000,4,1,7,00
25,01,,,,,,,,,,,
04,04,05,02,08,1,3,07,000022000,2,1,3,02
36,05,03,02,06,1,2,03,000193200,4,1,7,00
29,01,,,,,,,,,,,
56,02,02,02,04,2,1,02,000075000,4,1,3,00
41,05,03,02,05,1,2,10,000072000,2,1,2,03
29,01,01,05,03,3,1,06,,,1,3,00
48,01,01,09,04,3,0,08,,,2,4,00
17,02,03,01,06,3,2,06,000031900,4,1,6,00
37,03,04,02,07,2,1,02,000014400,2,1,6,00
06,01,00,06,01,3,0,07,,,2,1,00
12,04,04,02,05,1,3,05,000330000,2,2,3,01
48,01,03,02,06,1,1,04,,,1,4,00
45,02,02,01,05,3,2,05,000029400,4,1,2,00
36,02,02,09,05,1,1,04,000125000,4,1,6,00
15,02,02,06,03,1,2,10,,,1,3,00
12,01,,,,,,,,,,,
36,04,03,02,07,1,4,03,000056600,2,1,1,00
25,01,01,05,03,3,1,04,,,1,4,00
16,03,04,02,07,2,4,04,000015900,4,1,5,00
04,01,,,,,,,,,,,
48,00,03,02,07,,,05,,,,,
48,03,03,02,05,3,1,03,000030000,2,2,4,01
36,01,,,,,,,,,,,
12,02,03,02,05,1,3,06,000059400,4,1,5,00
45,00,02,08,03,,,07,,,,,
12,05,03,02,07,1,2,04,000033000,2,1,5,02
48,04,04,02,08,1,2,04,000128000,2,1,3,02
17,02,02,07,05,1,2,05,000030000,4,1,4,00
48,02,02,09,03,3,1,07,000049100,2,1,1,01
55,02,01,08,03,3,2,01,,,1,1,00
06,01,,,,,,,,,,,
47,01,,,,,,,,,,,
35,03,03,02,06,3,1,07,000007700,2,1,5,01
19,02,02,02,05,1,1,07,000043800,4,1,5,00
27,02,03,02,08,2,2,01,000077200,4,1,7,00
12,03,02,03,04,3,3,05,000032000,4,1,1,00
53,05,04,02,06,1,4,03,000086000,2,3,5,01
36,02,02,02,04,2,2,07,000045410,4,1,2,00
39,06,05,02,10,1,6,07,000137000,2,1,5,02
53,02,03,01,04,1,3,05,000053000,4,1,5,00
45,04,03,02,05,3,1,04,000026400,4,1,3,00
21,03,02,02,06,1,2,01,000013000,2,1,5,02
26,00,01,02,02,,,07,,,,,
25,01,,,,,,,,,,,
48,03,03,02,05,2,1,03,000050000,2,2,5,01
34,01,02,02,04,2,2,03,,,1,7,00
13,02,04,02,08,1,2,06,000118400,4,1,6,00
06,06,03,02,05,3,0,03,000027000,2,2,3,02
18,02,08,05,17,2,5,01,000083000,4,1,6,00
41,04,04,02,08,1,3,09,000195000,2,1,4,02
45,04,04,02,07,1,3,07,000034000,2,1,4,00
13,01,,,,,,,,,,,
36,01,00,08,01,3,0,01,,,1,7,00
53,02,02,09,03,3,1,08,000050420,4,1,1,00
06,03,02,02,05,1,2,04,000026700,4,2,5,00
42,00,04,02,05,,,05,,,,,
37,02,04,02,12,1,2,01,000117000,4,1,3,00
55,03,04,02,09,1,2,02,000059900,4,1,3,00
13,01,01,09,04,3,1,05,,,1,4,00
06,06,01,07,02,3,0,07,000020600,3,2,1,03
06,04,02,02,06,3,1,04,000013000,2,2,3,00
42,01,,,,,,,,,,,
53,02,02,02,05,1,3,01,,,1,3,00
26,04,04,02,09,1,3,08,000112900,2,1,4,02
26,02,03,02,08,1,2,03,000063000,4,1,3,00
29,01,01,06,03,3,1,05,,,1,2,00
26,01,02,08,05,3,1,06,,,1,5,00
25,02,03,02,06,1,2,06,000104400,4,1,4,00
48,01,02,02,07,2,1,06,,,1,6,00
36,03,02,09,04,3,0,04,000038800,2,2,5,01
29,00,03,01,05,,,08,,,,,
04,00,02,01,03,,,05,,,,,
51,04,04,02,10,1,4,07,000064500,4,1,5,00
39,03,03,02,06,2,2,05,000029580,2,1,5,01
55,01,,,,,,,,,,,
53,01,,,,,,,,,,,
48,03,02,08,04,3,1,07,000035500,2,2,2,02
24,02,03,02,06,1,2,05,000098200,4,1,6,00
29,07,09,02,13,1,4,08,000126300,2,1,4,03
40,03,03,02,06,2,3,04,000085900,4,1,7,00
34,02,01,05,04,3,2,04,000045000,4,1,6,00
08,03,03,01,06,1,4,08,000046400,1,2,3,01
42,02,04,01,10,2,3,05,000066000,4,1,4,00
46,04,03,02,07,2,3,01,000100500,2,1,5,01
15,02,02,06,04,3,2,05,000062400,4,4,5,00
50,05,05,02,08,1,2,04,000064000,2,1,3,03
37,05,05,02,09,1,2,07,000135000,2,3,5,03
39,01,03,02,07,2,2,01,,,1,5,00
48,03,03,02,07,1,3,05,000237500,4,2,7,00
34,01,,,,,,,,,,,
40,02,02,02,07,2,1,03,000028900,4,1,7,00
36,09,05,02,11,2,5,03,000000800,3,2,6,07
32,01,02,06,05,3,2,08,,,1,1,00
48,05,03,02,06,1,3,07,000053000,2,1,6,00
27,04,04,02,06,1,2,05,000051600,2,1,5,02
51,04,02,02,07,1,2,02,000068000,2,1,5,01
28,03,03,02,06,1,2,07,000122500,2,1,4,01
49,02,05,02,08,2,2,11,000168000,4,1,2,00
46,01,05,02,08,2,3,01,,,1,7,00
36,01,03,03,08,2,1,03,,,3,6,00
25,02,04,02,08,1,2,06,000140300,4,1,6,00
27,02,04,02,22,2,5,01,000062100,4,1,7,00
12,01,02,02,04,3,1,05,,,1,3,00
42,02,04,02,08,2,2,04,000096300,4,1,6,00
13,02,03,02,07,1,2,06,000082400,4,1,4,00
13,02,02,01,06,3,2,05,000050000,4,1,3,00
39,02,04,02,17,1,2,08,000080004,4,1,4,00
06,02,01,06,04,3,6,05,000162900,4,3,3,00
06,03,05,02,07,2,1,02,000018640,2,5,7,00
13,01,,,,,,,,,,,
13,00,01,02,03,,,03,,,,,
55,03,03,02,06,1,2,02,000085000,2,1,4,01
55,04,03,02,10,1,3,10,000336130,2,3,4,02
31,02,02,07,04,3,1,05,,,1,1,00
18,02,05,02,11,1,2,07,000116100,4,1,5,00
36,04,04,02,10,1,1,04,000216050,3,3,3,02
24,02,04,02,13,2,2,04,000332000,4,1,7,00
45,01,02,07,04,3,0,06,,,1,1,00
06,03,02,02,05,3,3,01,000066000,2,2,7,01
48,03,03,02,09,1,3,04,000092500,4,1,5,00
13,01,03,02,07,2,2,05,,,1,7,00
55,02,05,02,08,2,2,08,000065000,4,1,4,00
12,03,03,06,05,1,2,07,000074000,1,2,4,01
06,02,03,02,08,1,2,03,,,1,7,00
37,01,,,,,,,,,,,
17,02,03,01,05,2,0,05,000002200,4,1,5,00
13,00,03,02,06,,,06,,,,,
17,02,01,05,04,3,1,01,000022200,4,2,6,00
06,03,03,02,06,2,2,01,000076000,4,2,7,00
09,03,02,07,06,3,2,05,000071000,2,1,4,00
25,01,02,04,05,2,1,01,,,1,7,00
06,02,02,03,05,3,2,09,,,3,1,00
36,01,03,03,10,2,1,06,,,1,3,00
41,01,02,02,04,3,1,03,,,1,4,00
46,00,03,01,05,,,06,,,,,
48,01,,,,,,,,,,,
10,03,05,02,12,1,3,03,000115200,4,1,7,00
41,02,04,02,09,1,2,03,000159220,4,1,5,00
42,04,04,02,07,1,2,06,000135000,2,1,3,02
21,01,,,,,,,,,,,
33,01,02,01,04,2,0,04,,,1,6,00
45,02,02,01,04,2,1,06,000032600,2,1,5,01
04,01,02,02,07,2,2,10,,,1,3,00
11,01,01,07,03,3,2,01,,,1,4,00
17,04,04,02,07,1,2,04,000171000,2,2,5,02
47,02,03,02,04,2,0,06,000026000,4,1,4,00
35,02,04,02,07,1,2,08,,,2,3,00
13,06,03,04,05,3,1,06,000010000,3,2,1,04
24,02,03,02,11,1,2,07,000095000,4,1,3,00
06,02,02,06,04,3,1,05,,,1,3,00
49,02,03,02,05,2,2,03,000039100,4,1,7,00
39,02,04,02,07,1,2,01,000053400,4,1,7,00
42,02,04,02,10,1,2,07,000159700,4,1,5,00
39,01,01,07,04,3,1,03,,,3,1,00
48,01,04,02,08,1,2,05,,,1,5,00
45,01,02,05,04,3,1,05,,,1,3,00
40,02,03,02,06,1,4,04,000039000,4,1,5,00
55,01,01,05,03,3,0,05,,,1,1,00
21,03,03,02,06,1,3,01,000040800,4,1,6,00
51,00,02,04,04,,,02,,,,,
39,01,02,02,05,1,1,01,,,1,6,00
06,03,03,02,08,1,3,04,000403000,2,1,3,01
25,02,02,02,05,1,2,03,000080000,4,5,1,00
51,01,,,,,,,,,,,
06,01,03,02,05,1,4,03,,,1,5,00
26,02,03,02,08,1,1,08,000053400,4,1,4,00
12,02,02,02,08,1,4,05,000071300,4,1,3,00
47,03,02,04,04,3,2,02,000020000,4,1,2,00
17,01,01,09,02,3,1,02,,,1,3,00
15,02,03,02,05,2,1,01,000059610,4,4,7,00
12,00,02,01,04,,,05,,,,,
06,08,10,02,11,1,2,02,000069000,2,4,3,01
53,04,03,01,06,1,2,07,000096000,2,1,4,02
48,02,03,01,05,1,2,08,000001400,4,1,5,00
12,02,03,02,06,1,3,07,000106500,4,1,2,00
29,01,02,02,05,3,1,01,,,1,4,00
51,03,03,01,05,2,2,07,000045000,2,1,5,01
28,01,02,02,05,1,1,05,,,1,5,00
42,02,03,02,06,1,2,04,000114000,4,1,5,00
12,00,01,08,03,,,04,,,,,
42,01,,,,,,,,,,,
47,01,,,,,,,,,,,
37,03,04,02,12,1,3,07,000062480,4,1,4,00
48,00,03,05,05,,,04,,,,,
08,01,02,02,05,1,1,02,,,1,4,00
48,01,02,06,04,2,1,05,,,4,5,00
36,02,03,02,08,1,2,05,000102700,4,1,5,00
12,02,01,02,04,1,2,01,000029860,4,3,5,00
18,01,02,02,06,2,2,07,,,1,5,00
36,05,03,02,09,1,2,01,000120000,2,1,4,03
48,01,02,09,03,2,1,06,,,3,3,00
26,00,04,02,07,,,03,,,,,
30,01,04,02,07,2,2,01,,,1,7,00
11,00,01,09,03,,,04,,,,,
12,01,,,,,,,,,,,
48,01,01,06,03,3,1,04,,,2,3,00
17,01,04,02,10,3,1,05,,,1,2,00
51,01,,,,,,,,,,,
28,13,05,02,07,2,2,06,000071500,3,5,6,04
36,04,02,09,03,3,1,07,000052800,2,3,2,01
47,02,03,02,06,1,2,04,000036300,4,1,7,00
45,01,02,02,05,4,1,01,,,1,7,00
29,00,04,02,06,,,07,,,,,
39,01,03,02,06,3,1,01,,,1,3,00
26,05,05,02,13,1,2,07,000360000,2,1,5,03
36,02,03,02,07,2,2,01,000055000,4,1,7,00
24,11,07,02,15,1,6,05,000363600,3,1,7,00
35,01,02,02,05,2,1,06,,,1,6,00
18,02,03,02,07,1,2,05,000118000,4,1,5,00
17,03,04,02,08,1,3,02,000086400,4,1,7,00
53,03,03,02,08,2,3,01,000175000,4,3,4,00
48,01,,,,,,,,,,,
48,01,,,,,,,,,,,
36,05,03,02,06,2,2,02,000052000,2,1,5,01
11,01,02,07,03,4,0,03,,,1,1,00
48,03,03,02,06,3,3,09,,,1,1,00
36,01,03,02,05,2,2,06,,,1,5,00
06,02,01,07,04,3,2,05,000040000,4,3,5,00
21,02,02,01,06,2,0,05,000030000,4,1,5,00
08,00,02,06,03,,,06,,,,,
25,00,01,09,02,,,08,,,,,
08,02,03,02,07,1,2,03,000028800,4,1,6,00
08,02,02,06,04,3,1,05,000000000,2,1,1,01
06,04,03,02,05,1,2,08,000144000,2,1,4,02
45,02,02,05,05,3,1,09,000020000,4,1,1,00
26,05,05,02,11,1,2,07,000171000,2,1,4,03
39,00,03,06,05,,,02,,,,,
55,03,03,03,05,3,2,08,000031200,2,1,3,01
13,01,,,,,,,,,,,
34,00,02,02,06,,,05,,,,,
48,04,03,02,05,1,2,06,000017100,2,1,5,00
27,02,04,02,06,1,3,07,000105300,4,1,4,00
13,03,02,02,09,2,3,03,000139600,4,1,5,00
45,04,03,04,08,3,3,11,000047000,1,1,2,01
25,03,03,02,07,1,2,06,000083000,2,1,4,01
48,04,03,02,06,1,2,03,000135000,2,1,3,02
36,01,03,09,05,3,1,04,,,1,7,00
01,06,04,01,08,1,3,08,000054000,3,1,4,04
26,01,03,02,07,2,2,06,,,1,4,00
31,02,03,02,08,2,3,04,000052100,4,1,7,00
42,02,03,03,07,1,2,01,000025500,4,4,5,00
37,00,03,06,04,,,06,,,,,
55,02,03,02,05,1,3,06,,,1,6,00
48,01,01,02,03,3,1,03,,,1,5,00
17,02,03,02,06,2,2,04,000045830,4,1,7,00
12,02,03,02,07,1,2,08,000049020,4,1,5,00
26,01,02,02,04,2,1,04,,,1,4,00
09,06,04,02,07,1,2,06,000077110,2,1,4,04
32,02,04,02,05,2,2,07,000060200,4,1,5,00
54,04,03,02,05,1,1,07,000032000,4,1,4,00
45,03,03,01,08,2,2,07,,,1,4,00
28,01,03,02,06,4,1,04,,,1,7,00
26,02,02,02,06,3,1,01,000003000,4,1,5,00
21,00,01,07,03,,,04,,,,,
36,02,04,02,10,1,2,02,000102000,4,1,5,00
48,03,04,02,09,1,3,04,000095000,1,1,4,01
37,01,03,01,05,1,1,03,,,1,3,00
06,03,03,02,05,1,3,12,000102000,2,1,4,01
